id,armed_with,city,county,state,age,gender,race,body_camera,age_range,year
269,unarmed,Aurora,Denver,CO,37.0,male,B,False,35-54,2015
270,,Putnam Hall,Putnam,FL,48.0,male,B,False,35-54,2015
271,gun,Phoenix,Maricopa,AZ,29.0,male,W,False,26-34,2015
204,knife,Anaheim,Orange,CA,43.0,female,B,True,35-54,2015
272,gun,Oklahoma City,Oklahoma,OK,40.0,male,H,False,35-54,2015
273,,Claymont,New Castle,DE,35.0,male,W,False,35-54,2015
205,unarmed,Atlanta,DeKalb,GA,27.0,male,B,False,26-34,2015
274,gun,Brevard,Transylvania,NC,58.0,male,W,False,55-64,2015
275,gun,Dinosaur,Moffat,CO,46.0,male,W,False,35-54,2015
276,gun,Cocoa,Brevard,FL,30.0,male,B,False,26-34,2015
206,gun,Cleveland,Cuyahoga,OH,64.0,male,B,True,55-64,2015
278,gun,Baton Rouge,East Baton Rouge,LA,31.0,male,B,False,26-34,2015
536,knife,Port Wentworth,Chatham,GA,23.0,male,W,True,19-25,2015
883,knife,Ontario,San Bernardino,CA,37.0,male,H,False,35-54,2015
248,,Elkton,Cecil,MD,37.0,male,B,False,35-54,2015
277,gun,Memphis,Shelby,TN,31.0,male,W,False,26-34,2015
279,gun,Santa Ana,Orange,CA,39.0,male,H,False,35-54,2015
281,replica,Kingman,Mohave,AZ,31.0,male,W,False,26-34,2015
307,gun,Bay Minette,Baldwin,AL,54.0,male,W,False,35-54,2015
581,gun,Hoover,Jefferson,AL,53.0,male,W,False,35-54,2015
796,,Los Angeles,Los Angeles,CA,25.0,male,H,False,19-25,2015
282,unarmed,Washington,Washington,DC,35.0,male,B,False,35-54,2015
207,gun,Napa,Napa,CA,41.0,male,H,False,35-54,2015
283,gun,Kansas City,Jackson,MO,59.0,male,W,False,55-64,2015
289,knife,Fontana,San Bernardino,CA,36.0,male,W,False,35-54,2015
351,unarmed,Walnut Creek,Los Angeles,CA,32.0,male,H,False,26-34,2015
208,knife,Follansbee,Brooke,WV,53.0,male,W,False,35-54,2015
209,gun,Kenosha,Kenosha,WI,26.0,male,W,False,26-34,2015
287,gun,San Antonio,Bexar,TX,29.0,male,H,False,26-34,2015
210,knife,Ruth,Pike,MS,27.0,male,W,False,26-34,2015
212,gun,St. Paul,Ramsey,MN,28.0,male,W,False,26-34,2015
213,gun,Gastonia,Gaston,NC,52.0,male,W,False,35-54,2015
216,gun,Medford,Jackson,OR,49.0,male,W,False,35-54,2015
217,gun,Dublin,Bladen,NC,24.0,male,W,False,19-25,2015
221,vehicle,San Francisco,San Francisco,CA,24.0,female,W,False,19-25,2015
290,gun,Onalaska,Polk,TX,20.0,male,W,False,19-25,2015
292,unarmed,Sacramento,Sacramento,CA,22.0,male,H,False,19-25,2015
225,gun,Glendale,Maricopa,AZ,49.0,female,W,False,35-54,2015
226,gun,Tallahassee,Leon,FL,64.0,male,W,False,55-64,2015
294,knife,Bakersfield,Kern,CA,47.0,male,W,False,35-54,2015
228,knife,Lawrence County,Lawrence,AL,39.0,male,W,True,35-54,2015
229,unarmed,Cleveland,Cuyahoga,OH,18.0,male,B,False,0-18,2015
230,gun,Middleton,Canyon,ID,31.0,male,W,True,26-34,2015
265,gun,Jacksonville,Duval,FL,16.0,male,B,False,0-18,2015
295,unarmed,Sumas,Whatcom,WA,20.0,male,W,False,19-25,2015
306,gun,Bakersfield,Kern,CA,36.0,male,W,False,35-54,2015
308,knife,New Orleans,Jefferson,LA,63.0,male,B,False,55-64,2015
310,gun,Coal County,Coal,OK,34.0,male,W,False,26-34,2015
531,gun,Red Valley,Apache,AZ,24.0,male,N,False,19-25,2015
235,gun,Cottonwood,Yavapai,AZ,21.0,male,W,False,19-25,2015
309,gun,Clarendon,Orleans,NY,44.0,male,W,False,35-54,2015
311,gun,Harmony,Clay,IN,60.0,male,W,False,55-64,2015
312,gun,Columbus,Franklin,OH,42.0,male,W,False,35-54,2015
231,knife,Vallejo,Solano,CA,37.0,male,W,False,35-54,2015
233,knife,Portland,Multnomah,OR,36.0,male,W,False,35-54,2015
234,undetermined,Islip,Suffolk,NY,21.0,male,B,False,19-25,2015
237,gun,Santa Clara,Santa Clara,CA,24.0,male,B,False,19-25,2015
238,gun,Portsmouth,Portsmouth City,VA,29.0,male,B,False,26-34,2015
247,gun,San Jose,Santa Clara,CA,57.0,male,W,False,55-64,2015
313,gun,Fond du Lac,Fond du Lac,WI,38.0,male,W,False,35-54,2015
239,undetermined,Smyrna,Cobb,GA,23.0,male,B,True,19-25,2015
240,gun,Johnsonville,Florence,SC,27.0,male,B,False,26-34,2015
241,gun,South Los Angeles,Los Angeles,CA,28.0,male,H,False,26-34,2015
242,gun,Glendale,Maricopa,AZ,63.0,male,W,False,55-64,2015
246,gun,Gardner,Johnson,KS,53.0,female,W,False,35-54,2015
250,knife,Wilmington,Los Angeles,CA,35.0,male,H,False,35-54,2015
245,knife,Oxnard,Ventura,CA,26.0,female,B,False,26-34,2015
251,gun,Fort Ashby,Mineral,WV,42.0,male,W,False,35-54,2015
254,gun,Boston,Suffolk,MA,41.0,male,B,False,35-54,2015
256,gun,Encinitas,San Diego,CA,56.0,male,W,False,55-64,2015
257,knife,Fort Pierce,St. Lucie,FL,39.0,male,B,False,35-54,2015
258,replica,Bakersfield,Kern,CA,23.0,male,H,False,19-25,2015
316,gun,Webster,Worcester,MA,40.0,male,W,False,35-54,2015
252,gun,Elizabethtown,Hardin,KY,29.0,male,B,False,26-34,2015
264,,Jasper,Pike,OH,26.0,male,W,False,26-34,2015
244,gun,Boulder City,Clark,NV,54.0,male,,False,35-54,2015
262,gun,Eugene,Lane,OR,49.0,male,W,False,35-54,2015
259,gun,Carollwood,Hillsborough,FL,36.0,male,W,False,35-54,2015
261,replica,Baytown,Harris,TX,21.0,male,H,False,19-25,2015
263,vehicle,Fort Meade,Anne Arundel,MD,27.0,female,B,False,26-34,2015
267,gun,Hawthorne,Los Angeles,CA,37.0,male,B,False,35-54,2015
533,knife,Hamilton,Mercer,NJ,36.0,male,W,False,35-54,2015
286,gun,Rock Island,Rock Island,IL,32.0,male,B,False,26-34,2015
288,gun,Metropolis,Massac,IL,63.0,male,W,False,55-64,2015
291,unarmed,Tulsa,Tulsa,OK,44.0,male,B,False,35-54,2015
303,gun,Pineville,Rapides,LA,27.0,male,W,False,26-34,2015
299,knife,Winchester,Frederick,VA,38.0,male,W,True,35-54,2015
296,gun,Zion,Lake,IL,17.0,male,B,False,0-18,2015
297,unarmed,North Charleston,Charleston,SC,50.0,male,B,False,35-54,2015
300,gun,Orange,Orange,CA,31.0,male,B,True,26-34,2015
302,gun,Edgewood,Santa Fe,NM,34.0,male,W,False,26-34,2015
301,knife,Phoenix,Maricopa,AZ,51.0,male,W,False,35-54,2015
304,gun,Tehachapi,Kern,CA,56.0,male,W,False,55-64,2015
298,gun,Indianapolis,Marion,IN,23.0,male,W,False,19-25,2015
318,gun,Harvey,Jefferson,LA,25.0,male,B,False,19-25,2015
322,gun,Jefferson County,Jefferson,ID,31.0,male,W,False,26-34,2015
319,gun,Pottawatomie County,Pottawatomie,OK,32.0,male,W,False,26-34,2015
329,gun,San Antonio,Bexar,TX,60.0,male,W,False,55-64,2015
330,,Valdosta,Lowndes,GA,42.0,male,B,False,35-54,2015
331,gun,Los Angeles,Los Angeles,CA,39.0,male,H,False,35-54,2015
359,knife,Sunnyvale,Santa Clara,CA,28.0,male,A,False,26-34,2015
332,knife,Navarre,Santa Rosa,FL,22.0,male,W,False,19-25,2015
333,gun,Monon,White,IN,29.0,male,B,False,26-34,2015
340,gun,Straban Township,Adams,PA,31.0,male,W,False,26-34,2015
343,gun,Boiling Springs,Spartanburg,SC,28.0,male,W,False,26-34,2015
534,,Kellyville,Creek,OK,54.0,male,,False,35-54,2015
335,knife,Corning,Tehama,CA,21.0,male,H,False,19-25,2015
377,gun,Topeka,Shawnee,KS,38.0,male,W,False,35-54,2015
358,gun,Sand Springs,Tulsa,OK,66.0,male,W,True,65+,2015
355,gun,Indianapolis,Marion,IN,36.0,male,B,True,35-54,2015
357,knife,Oklahoma City,Oklahoma,OK,83.0,male,W,False,65+,2015
362,gun,Salemburg,Sampson,NC,32.0,male,W,False,26-34,2015
356,gun,Alton,Madison,IL,27.0,male,H,False,26-34,2015
363,undetermined,DeSoto,Dallas,TX,26.0,male,B,False,26-34,2015
364,knife,Jonesboro,Craighead,AR,31.0,male,W,False,26-34,2015
365,gun,Miami,Miami-Dade,FL,22.0,male,B,False,19-25,2015
366,knife,Spartanburg,Spartanburg,SC,41.0,male,B,False,35-54,2015
367,unarmed,Houston,Harris,TX,41.0,male,B,False,35-54,2015
368,replica,Columbia,Boone,MO,51.0,male,W,True,35-54,2015
369,gun,Cañon City,Fremont,CO,72.0,male,W,False,65+,2015
374,replica,Montclair,San Bernardino,CA,52.0,male,H,False,35-54,2015
373,knife,Shafter,Kern,CA,47.0,male,H,False,35-54,2015
380,gun,Chicago,Cook,IL,18.0,male,B,False,0-18,2015
381,gun,Hemet,Riverside,CA,29.0,male,H,False,26-34,2015
382,knife,Jennings,St. Louis,MO,23.0,male,B,True,19-25,2015
376,gun,Phoenix,Maricopa,AZ,43.0,male,H,False,35-54,2015
379,gun,Panama City,Bay,FL,45.0,male,W,False,35-54,2015
378,gun,Wilmore,Jessamine,KY,40.0,male,W,False,35-54,2015
383,knife,Sidney,Cheyenne,NE,44.0,male,W,False,35-54,2015
399,gun,Mission,Hidalgo,TX,25.0,male,H,False,19-25,2015
393,unarmed,Lakewood,Pierce,WA,37.0,male,N,False,35-54,2015
398,knife,Irmo,Lexington,SC,59.0,male,W,False,55-64,2015
495,knife,Los Angeles,Los Angeles,CA,35.0,male,H,False,35-54,2015
537,,Trenton,Essex,NJ,35.0,male,B,False,35-54,2015
391,unarmed,Portsmouth,Portsmouth City,VA,18.0,male,B,False,0-18,2015
394,knife,Bisbee,Cochise,AZ,51.0,male,H,False,35-54,2015
395,gun,Queens,Queens,NY,30.0,male,W,False,26-34,2015
396,gun,Fort Worth,Tarrant,TX,31.0,male,B,False,26-34,2015
397,gun,Eldorado Springs,Boulder,CO,39.0,male,A,False,35-54,2015
392,replica,Sylmar,Ottawa,CA,26.0,male,W,False,26-34,2015
400,gun,Rufe,Choctaw,OK,51.0,male,W,False,35-54,2015
409,unarmed,Long Beach,Los Angeles,CA,19.0,male,H,False,19-25,2015
401,,Windsor,Sonoma,CA,46.0,female,W,False,35-54,2015
402,gun,Eugene,Marion,OR,49.0,male,W,False,35-54,2015
403,gun,Miami,Ottawa,OK,63.0,male,W,False,55-64,2015
412,gun,Trinidad,Las Animas,CO,20.0,male,B,True,19-25,2015
408,knife,Victoria,Victoria,TX,25.0,male,W,True,19-25,2015
411,unarmed,New York,New York,NY,24.0,male,B,False,19-25,2015
414,knife,Clermont,Lake,FL,58.0,male,W,False,55-64,2015
404,unarmed,Bunch,Adair,OK,29.0,male,W,False,26-34,2015
406,gun,Kings County,Kings,CA,76.0,male,W,False,65+,2015
407,gun,Fountain Valley,Orange,CA,45.0,male,W,False,35-54,2015
405,blunt_object,Detroit,Wayne,MI,20.0,male,B,False,19-25,2015
413,gun,Mansfield,Richland,OH,58.0,male,W,False,55-64,2015
417,gun,New Orleans,Orleans,LA,21.0,male,B,True,19-25,2015
420,gun,Marion,Williamson,IL,27.0,male,W,False,26-34,2015
415,knife,Chickasha,Grady,OK,26.0,male,W,False,26-34,2015
416,gun,Mesa,Maricopa,AZ,33.0,male,H,False,26-34,2015
419,gun,Elk Grove,Sacramento,CA,27.0,male,H,False,26-34,2015
421,gun,Atlanta,Fulton,GA,25.0,female,B,False,19-25,2015
422,gun,Emporia,Greensville,VA,53.0,male,B,False,35-54,2015
423,gun,Nashville,Davidson,TN,53.0,male,W,False,35-54,2015
418,unarmed,San Diego,San Diego,CA,42.0,male,O,True,35-54,2015
424,blunt_object,El Paso,El Paso,TX,22.0,male,H,False,19-25,2015
425,gun,Smyrna,Kent,DE,52.0,male,W,True,35-54,2015
426,gun,Roosevelt,Duchesne,UT,36.0,male,W,True,35-54,2015
427,gun,Garland,Dallas,TX,30.0,male,B,False,26-34,2015
428,gun,Garland,Dallas,TX,34.0,male,O,False,26-34,2015
445,gun,Albuquerque,Bernalillo,NM,44.0,male,H,False,35-54,2015
447,gun,Chavies,Perry,KY,53.0,male,W,False,35-54,2015
431,replica,Kennewick,Benton,WA,36.0,male,W,False,35-54,2015
6916,gun,Alvin,,TX,38.0,male,H,False,35-54,2015
429,unarmed,Venice,Los Angeles,CA,29.0,male,B,True,26-34,2015
